NAME,B19013_001E,B01003_001E,zip code tabulation area
ZCTA5 02718,107570,7125,02718
ZCTA5 02719,92500,15878,02719
ZCTA5 02720,62907,31063,02720
ZCTA5 02721,50666,25922,02721
ZCTA5 02723,41789,17111,02723
ZCTA5 02724,49809,18758,02724
ZCTA5 02725,127228,2300,02725
ZCTA5 02726,110427,15946,02726
ZCTA5 02738,120227,5312,02738
ZCTA5 02739,117308,6563,02739
ZCTA5 02740,54563,46336,02740
ZCTA5 02743,90683,10476,02743
ZCTA5 02744,54841,12549,02744
ZCTA5 02745,73154,25013,02745
ZCTA5 02746,41023,16791,02746
ZCTA5 02747,97665,21500,02747
ZCTA5 02748,105455,11501,02748
ZCTA5 02760,109350,29078,02760
ZCTA5 02762,95625,9872,02762
ZCTA5 02763,109970,1764,02763
ZCTA5 02764,140135,4344,02764
ZCTA5 02766,127404,19155,02766
ZCTA5 02767,119550,15337,02767
ZCTA5 02769,126161,12809,02769
ZCTA5 02770,119164,5716,02770
ZCTA5 02771,116310,15573,02771
ZCTA5 02777,116627,17231,02777
ZCTA5 02779,123877,6789,02779
ZCTA5 02780,75054,52530,02780
ZCTA5 02790,100617,16725,02790
ZCTA5 02791,104712,316,02791
ZCTA5 02802,125522,531,02802
ZCTA5 02804,101392,2661,02804
ZCTA5 02806,150542,17113,02806
ZCTA5 02807,72450,829,02807
ZCTA5 02808,94712,2561,02808
ZCTA5 02809,96005,22317,02809
ZCTA5 02812,111711,1432,02812
ZCTA5 02813,103147,8017,02813
ZCTA5 02814,109632,7421,02814
ZCTA5 02815,209050,178,02815
ZCTA5 02816,97941,33246,02816
ZCTA5 02817,137485,6598,02817
ZCTA5 02818,120952,19869,02818
ZCTA5 02822,87185,6139,02822
ZCTA5 02823,-666666666,20,02823
ZCTA5 02824,158438,375,02824
ZCTA5 02825,110177,5861,02825
ZCTA5 02826,75347,615,02826
ZCTA5 02827,135139,2441,02827
ZCTA5 02828,94746,7058,02828
ZCTA5 02829,-666666666,63,02829
ZCTA5 02830,121611,6936,02830
ZCTA5 02831,135106,3665,02831
ZCTA5 02832,101225,4950,02832
ZCTA5 02833,-666666666,662,02833
ZCTA5 02835,141442,5545,02835
ZCTA5 02836,-666666666,47,02836
ZCTA5 02837,129750,3601,02837
ZCTA5 02838,82075,4007,02838
ZCTA5 02839,100906,1690,02839
ZCTA5 02840,83515,23615,02840
ZCTA5 02841,-666666666,1414,02841
ZCTA5 02842,97650,16920,02842
ZCTA5 02852,112457,23269,02852
ZCTA5 02857,108813,8095,02857
ZCTA5 02858,92016,280,02858
ZCTA5 02859,118662,6803,02859
ZCTA5 02860,59954,47372,02860
ZCTA5 02861,83044,27928,02861
ZCTA5 02863,45921,22481,02863
ZCTA5 02864,118737,36383,02864
ZCTA5 02865,117042,18033,02865
ZCTA5 02871,119135,17635,02871
ZCTA5 02872,132969,105,02872
ZCTA5 02873,-666666666,89,02873
ZCTA5 02874,155099,6715,02874
ZCTA5 02875,88469,206,02875
ZCTA5 02876,33008,444,02876
ZCTA5 02878,99542,16260,02878
ZCTA5 02879,115848,22628,02879
ZCTA5 02881,-666666666,7183,02881
ZCTA5 02882,95794,12984,02882
ZCTA5 02885,89722,11138,02885
ZCTA5 02886,91037,30925,02886
ZCTA5 02888,88750,18951,02888
ZCTA5 02889,85617,27533,02889
ZCTA5 02891,90435,21698,02891
ZCTA5 02892,143534,5704,02892
